"variable","est","grad","obj","iter","convg","run_time","faboup_iter","faboup_convg","update_type","max_faboup_iter"
"lambda_1",1.50100007149505,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_2",2.21111872966776,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_3",0.374985512335331,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_4",-2.19548393737458,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_1",0.9846862,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_2",0.5471379,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_3",1.5062035,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_u_4",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_1",0.4828427,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_2",0.3092682,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_3",0.4395462,NA,NA,NA,NA,NA,0,0,"block",200
"sigma2_e_4",0.1,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_11",0.840976840643504,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_21",-3.35198981093593,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_12",-0.503450157453972,NA,NA,NA,NA,NA,0,0,"block",200
"theta_ou_22",4.95618809092289,NA,NA,NA,NA,NA,0,0,"block",200
"sigma_ou_11",1.00613540811055,NA,NA,NA,NA,NA,0,0,"block",200
"sigma_ou_22",2.33534870505058,NA,NA,NA,NA,NA,0,0,"block",200
"lambda_1",1.12634614452122,-0.00717000417224511,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"lambda_2",1.70072656976937,0.0108360321738035,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"lambda_3",0.379416664564304,0.0111736233048934,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"lambda_4",-1.99069077282456,0.0319263083104622,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"sigma2_u_1",1.23824332452764,0.00113436139876555,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"sigma2_u_2",1.55919467620314,-0.00132172145632536,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"sigma2_u_3",1.48499811556438,0.00748585548992914,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"sigma2_u_4",0.98124061742509,0.00107945355756711,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"sigma2_e_1",0.622153747863087,0.00192147814260402,8019.87381232343,37,1,20.004702091217,1,0,"block",200
"sigma2_e_2",0.475473546704997,0.00157880677484856,8019.87381232343,37,1,20.004702091217,1,0,"block",200
